순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
57,2158623647,시공전설(주),황호진,분석,60991284,85.0,89.698,90.01,-0.2093 (99.7907),13 8,2022/09/29 09:51:59,
58,1018144159,주식회사 넥선,박민호,분석,60996780,85.0,89.706,90.018,-0.2004 (99.7996),4 11,2022/09/28 13:36:51,
59,2158164599,앤에스씨정보시스템(주),한만영,분석,60996846,85.0,89.706,90.018,-0.2002 (99.7998),5 15,2022/09/29 17:10:05,
60,7298600518,주식회사 킴스앤,김동선,분석,60997413,85.0,89.707,90.019,-0.1993 (99.8007),4 8,2022/09/27 23:19:43,
61,3578800544,디와이아이앤씨주식회사,주인웅,분석,60997519,85.0,89.707,90.019,-0.1991 (99.8009),10 11,2022/09/26 10:42:46,
62,1068619820,주식회사유엔콘트롤,남성모,분석,60997520,85.0,89.707,90.019,-0.1991 (99.8009),9 1,2022/09/28 14:00:22,
63,1098611773,주식회사상현엔지니어링,이재권,분석,60999230,85.0,89.71,90.022,-0.1963 (99.8037),1 7,2022/09/30 09:21:02,
64,2118606665,주식회사 아라랏,황지홍,분석,60999262,85.0,89.71,90.022,-0.1963 (99.8037),13 5,2022/09/29 21:48:12,
65,1148714916,주식회사 알앤씨미디어,오창석,분석,61001620,85.0,89.714,90.026,-0.1924 (99.8076),8 15,2022/09/28 13:49:07,
66,1198653921,미래네트웍스 주식회사,천기남,분석,61002526,85.0,89.715,90.027,-0.1910 (99.809),12 1,2022/09/29 10:00:52,
67,1138668654,주식회사코리아아이씨티,장규호,분석,61003020,85.0,89.716,90.028,-0.1901 (99.8099),10 14,2022/09/28 08:55:49,
68,2048131439,중앙텔콤(주),오충석,분석,61003814,85.0,89.717,90.029,-0.1888 (99.8112),8 2,2022/09/28 13:19:53,
69,2098211809,사단법인 해오름장애인협회,노영주,분석,61004548,85.0,89.719,90.03,-0.1876 (99.8124),8 1,2022/09/29 14:04:49,
70,1208609672,(주)디에스티인터내셔날,김형태,분석,61004740,85.0,89.719,90.03,-0.1873 (99.8127),5 2,2022/09/30 08:50:19,
71,2138627690,(주)이스텍,황복영,분석,61005890,85.0,89.721,90.032,-0.1855 (99.8145),11 2,2022/09/30 09:35:42,
72,1058739913,(주)비디엔에프,최경훈,분석,61005953,85.0,89.721,90.032,-0.1853 (99.8147),3 11,2022/09/27 16:42:06,
73,2148123348,성제전기(주),김팔성,분석,61007237,85.0,89.723,90.034,-0.1832 (99.8168),10 5,2022/09/29 19:05:22,
74,2158674452,(주)새별네트웍스,현경순,분석,61008100,85.0,89.724,90.035,-0.1818 (99.8182),2 1,2022/09/26 18:35:44,
75,1148642486,주식회사 큐브정보통신,유봉수,분석,61008520,85.0,89.725,90.036,-0.1811 (99.8189),1 13,2022/09/27 17:56:43,
76,1358602759,주식회사 케이씨이이앤씨,손종광,분석,61009780,85.0,89.727,90.038,-0.1791 (99.8209),15 14,2022/09/28 09:33:16,
