순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-73,1058191993,링크정보통신주식회사,이재호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-74,1388113342,지에스 주식회사,김영미,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-75,1298173953,유닉디지털(주),오기현,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-76,1198181214,엔텍월드주식회사,안병립,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-77,1308600867,샘정보산업주식회사,이용우,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-78,1378135120,주식회사 발해이엔지,황기덕,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-79,1028135124,현대에이치디에스(주),고해룡,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-80,1348601572,(주)주은코퍼레이션,조용준,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-81,2078155629,씨티아이앤아이(주),김덕제,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-82,1288644620,주식회사 피엠피테크,남영욱,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-83,1018144159,주식회사 넥선,박민호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-84,2168100638,원흥전설(주),이제호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-85,1068711354,에이비씨네트워크 주식회사,안종현,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-86,4028163632,주식회사 예원엔지니어링,이승진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-87,2208806533,제이와이씨엔아이(주),주용삼,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-88,1418140603,주식회사 서진씨앤씨,김현정,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-89,1018192253,주식회사 하늘영상통신기술,박재순,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-90,2068196840,주식회사 혜성이티에스,이상영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-91,1078693987,(주)피앤케이파워시스,구본관,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-92,2078124989,청보음향(주),지한영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-93,1358626858,씨엔씨엔지니어링(주),박애자,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-94,1258147939,(주)중앙컴정보통신,김순복,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-95,1238161347,주식회사 유텔,김호동,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-96,1268138388,세광건설(주),김종두,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-97,1088107572,동광전기건설(주),박재영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-98,1178152009,동아신호 주식회사,최종수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-99,2308100158,국제컨트로닉스 주식회사,김동배,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-100,2208612496,주식회사 드림시스텍,최기선,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-101,2098137137,주식회사우일씨앤아이,이준호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-102,1298684396,주식회사 에스에이치엔티,조남영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-103,4108607408,주식회사 천운정보통신,김복중,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-104,2118145912,영남전기통신 주식회사,장한목,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-105,1058188805,(주)경성텔레콤,김천수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-106,1138131356,중원기전(주),김창중,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-107,1108188618,하나정보통신 주식회사,구자문,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-108,1298124675,정암전기통신(주),성규암,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-109,1068602542,주식회사 유셀네트웍스,김구동,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-110,1248690874,동우에스지이주식회사,김평중,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-111,1288115659,수도전기(주),이인식,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-112,2078109289,栗林建設 株式會社,윤석율,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-113,1278122443,주식회사 정우이엔씨,최명희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-114,1288687916,주식회사 동연전설,홍영자,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-115,1198195585,(주)경원정보통신,박진원,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-116,1068648117,주식회사 티원엘에스,김영규,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-117,2128196942,동진이앤씨(주),민진식,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-118,2158148186,시스텍전기통신(주),전진우,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-119,2098121862,거우전설주식회사,김영훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-120,1368116116,주식회사누리플랜,이규홍,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-121,1358153122,(주)에스엠티앤에스,이용우,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-122,8598100658,주식회사 홍솔,최근철,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-123,1178161755,(주) 유강이엔씨,조천식,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-124,2068603856,앱솔루트시스템(주),송화삼,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-125,1228196580,주식회사 비앤스산업,김해옥,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
