순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
93,1428136631,주식회사 만사시스템,조호진,분석,57282680,85.0,89.437,89.476,-0.4505 (99.5495),2 10,2022/10/05 10:22:31,
94,2200459632,하나정보통신,현광섭,분석,57283039,85.0,89.437,89.477,-0.4499 (99.5501),11 4,2022/10/06 16:05:23,
95,3218602097,(주)태연정보,김영태,분석,57283825,85.0,89.439,89.478,-0.4485 (99.5515),8 2,2022/10/07 09:03:19,
96,1098185343,주식회사 오티에스씨,이승환,분석,57285960,85.0,89.442,89.481,-0.4448 (99.5552),12 4,2022/10/06 09:06:39,
97,1138151895,주식회사 온리정보통신,김서규,분석,57287392,85.0,89.445,89.484,-0.4423 (99.5577),7 10,2022/10/06 15:39:01,
98,2208108546,경림전기(주),김인형,분석,57290330,85.0,89.45,89.488,-0.4372 (99.5628),15 2,2022/10/05 11:21:21,
99,8058600302,주식회사 케이엔엑스정보통신,홍지연,분석,57290398,85.0,89.45,89.488,-0.4371 (99.5629),10 11,2022/10/05 10:01:40,
100,1328105709,(주)왕선전설,조정현,분석,57290614,85.0,89.45,89.489,-0.4367 (99.5633),13 10,2022/10/06 07:11:21,
101,1408138536,주)파인솔라,이태동,분석,57290850,85.0,89.451,89.489,-0.4363 (99.5637),3 6,2022/10/06 16:27:47,
102,2118691240,거성일렉콤(주),박성래,분석,57293261,85.0,89.455,89.493,-0.4321 (99.5679),15 8,2022/10/06 10:33:45,
103,2048190516,주식회사동훈전설,정준모,분석,57293839,85.0,89.456,89.494,-0.4311 (99.5689),1 5,2022/10/06 11:19:40,
104,2018633767,주식회사 명진에스앤씨,이성훈,분석,57294060,85.0,89.456,89.494,-0.4308 (99.5692),1 6,2022/10/06 08:48:46,
105,1068164354,(주)코알라전자시스템,장종기,분석,57296360,85.0,89.46,89.498,-0.4268 (99.5732),2 7,2022/10/07 08:54:49,
106,2158769714,주식회사 누리엔에스,박봉기,분석,57296490,85.0,89.46,89.498,-0.4265 (99.5735),12 5,2022/10/06 14:51:16,
107,1408169475,주식회사 제이앤제이파워스,박재옥,분석,57296900,85.0,89.461,89.498,-0.4258 (99.5742),12 5,2022/10/05 18:31:00,
108,1380715369,영인 아이티 기술사 사무소,함영만,분석,57297404,85.0,89.462,89.499,-0.4249 (99.5751),1 12,2022/10/06 23:54:20,
109,1060115808,영진정보통신,이종규,분석,57297480,85.0,89.462,89.499,-0.4248 (99.5752),14 12,2022/10/06 08:03:09,
110,1178168836,(주)유한이엔씨,신정식,분석,57298136,85.0,89.463,89.5,-0.4237 (99.5763),6 14,2022/10/07 09:18:00,
111,6188134896,주식회사 동신정보통신,임춘섭,분석,57298450,85.0,89.463,89.501,-0.4231 (99.5769),13 10,2022/10/07 07:34:50,
112,2068617141,(주)텔코아,황민석,분석,57299370,85.0,89.465,89.502,-0.4215 (99.5785),9 4,2022/10/05 16:32:04,
113,1198682431,(주)대경시스텍,반기수,분석,57300972,85.0,89.468,89.505,-0.4187 (99.5813),2 9,2022/10/06 09:15:36,
114,1198633186,주식회사 티에스솔루션,주성규,분석,57301127,85.0,89.468,89.505,-0.4185 (99.5815),10 11,2022/10/05 10:58:35,
115,1198164802,주식회사 비아이넷,김동균,분석,57301295,85.0,89.468,89.505,-0.4182 (99.5818),8 7,2022/10/07 09:03:55,
116,2170366237,염광통신공사,기홍용,분석,57302352,85.0,89.47,89.507,-0.4163 (99.5837),11 1,2022/10/06 19:27:48,
117,1198153402,고현건설(주),이화선,분석,57304150,85.0,89.473,89.51,-0.4132 (99.5868),1 2,2022/10/06 09:43:39,
118,1188120780,(주)웅비정보통신,강영종,분석,57304769,85.0,89.474,89.511,-0.4121 (99.5879),3 8,2022/10/07 09:14:16,
119,1198655462,지티에스솔루션즈 주식회사,김민수,분석,57306495,85.0,89.477,89.513,-0.4091 (99.5909),4 2,2022/10/07 08:49:27,
120,2308103607,주식회사 디케이앤트,양동국,분석,57308970,85.0,89.481,89.517,-0.4048 (99.5952),9 10,2022/10/05 11:28:27,
121,1058167417,(주)금정엔지니어링,구본신,분석,57310523,85.0,89.484,89.52,-0.4021 (99.5979),2 11,2022/10/07 09:00:05,
