순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
29,4468801407,(주)큐엔큐,장나미,분석,376953680,77.2,87.863,88.424,-0.05651 (99.94349),4 12,2023/05/19 13:09:14,
30,1198178757,주식회사우신아이앤씨,이화세,분석,376987350,77.4,87.871,88.432,-0.04750 (99.9525),1 6,2023/05/22 14:04:51,
31,2148134127,(주)대경텔레콤,오병도,분석,377001560,77.4,87.874,88.435,-0.04371 (99.95629),10 8,2023/05/22 09:13:18,
32,1098626994,주식회사 에이치엔엠,조요환,분석,377013058,77.6,87.877,88.438,-0.04063 (99.95937),11 9,2023/05/23 09:39:14,
33,1068611721,우리보안 주식회사,이명재,분석,377074130,77.8,87.893,88.452,-0.02430 (99.9757),2 13,2023/05/23 08:11:28,
34,1138636865,주식회사 정원시큐,염승호,분석,377089463,78.0,87.896,88.456,-0.02021 (99.97979),5 8,2023/05/22 10:47:12,
35,2128606988,원강정보통신 주식회사,우강원,분석,377110040,78.0,87.902,88.461,-0.01470 (99.9853),10 7,2023/05/22 09:46:12,
36,2188101953,주식회사 비츠로시스,이기재,분석,377115277,78.0,87.903,88.462,-0.01330 (99.9867),10 12,2023/05/22 16:43:01,
37,1068641109,주식회사 피앤지텍,조홍길,분석,377117500,78.0,87.903,88.462,-0.01271 (99.98729),3 12,2023/05/22 16:10:40,
38,1978600685,주식회사 에스에이텍,남기출,분석,377187470,78.4,87.921,88.479,0.00600 (100.006),6 11,2023/05/23 09:06:27,
39,1408177811,주식회사 네오비젼,유정식,분석,377236150,78.6,87.933,88.49,0.01901 (100.01901),8 6,2023/05/19 16:57:53,
40,1058167076,(주)포오스,박성규,분석,377242650,78.8,87.935,88.492,0.02075 (100.02075),3 10,2023/05/22 15:38:19,
41,1018675701,주식회사 두이정보통신,정영희,분석,377261564,78.8,87.939,88.496,0.02580 (100.0258),13 5,2023/05/19 14:54:59,
42,2158689085,(주)에스지테크놀러지,손병학,분석,377288000,79.0,87.946,88.502,0.03287 (100.03287),11 4,2023/05/19 10:16:40,
43,2118668579,(주)아이정보기술,이훈희,분석,377289213,79.0,87.946,88.503,0.03320 (100.0332),2 11,2023/05/22 08:14:37,
44,1148611926,(주)동진이앤티,김미화,분석,377339630,79.2,87.959,88.514,0.04667 (100.04667),3 10,2023/05/22 17:13:53,
45,1138618964,주식회사 에스엠플러스정보통신,왕성모,분석,377342750,79.2,87.96,88.515,0.04751 (100.04751),15 1,2023/05/22 09:15:42,
